date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:48:00	120058/120058	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:00%20GMT	https://www.papeleradelsur.com.ar/en/circular-generation/circular-alliance/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/circular-generation/circular-alliance/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:00	4463/4463	---M-Z	200	added ('OK')	application/x-javascript	etag:%22116f-63613ce8-141f55;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/animations.js	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/animations.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:00	2696/2696	---M-Z	200	added ('OK')	application/x-javascript	etag:%22a88-63613ce8-141f59;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/main.js	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/main.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:04	17430/17430	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-4416%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	C:/My%20Web%20Sites/empresapapelera/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/ScrollMagic.min.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:04	126710/126710	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:01%20GMT	https://www.papeleradelsur.com.ar/en/community/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/community/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:04	125859/125859	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:00%20GMT	https://www.papeleradelsur.com.ar/en/circular-generation/circular-raw-materials/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/circular-generation/circular-raw-materials/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:05	11124683/11124683	---M--	200	added ('OK')	video/mp4	etag:%22a9bfcb-63613d18-1420b9;;;%22	https://www.papeleradelsur.com.ar/assets/media/2022/10/Home.mp4	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/media/2022/10/Home.mp4	(from https://www.papeleradelsur.com.ar/en/)
19:48:05	7096/7096	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03cf2-1bb8%22	http://cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	C:/My%20Web%20Sites/empresapapelera/cdnjs.cloudflare.com/ajax/libs/ScrollMagic/2.0.7/plugins/debug.addIndicators.min.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:05	130469/130469	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:04%20GMT	https://www.papeleradelsur.com.ar/en/contact/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/contact/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:05	108558/108558	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:04%20GMT	https://www.papeleradelsur.com.ar/en/news/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/news/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:48:05%20GMT	https://www.papeleradelsur.com.ar/en/hz-group/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/hz-group/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:06	5758/5758	---M-Z	200	added ('OK')	application/x-javascript	etag:%22167e-63613ce8-141f58;gz%22	https://www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/home.js	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/themes/papeleradelsur/js/home.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:06	3015/3015	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bc7-63613d42-162057;gz%22	http://www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.min.js?ver=2.6.1	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.extra.minc141.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:06	115086/115086	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:48:06%20GMT	https://www.papeleradelsur.com.ar/en/novedades/alimentek-2022-packing-expo/	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/en/novedades/alimentek-2022-packing-expo/index.html	(from https://www.papeleradelsur.com.ar/en/)
19:48:07	1573/1573	---M-Z	200	added ('OK')	application/x-javascript	etag:%22625-63613d42-16205d;gz%22	http://www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.min.js?ver=2.6.1	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.srcset.minc141.js	(from https://www.papeleradelsur.com.ar/en/)
19:48:08	1045/1045	---M-Z	200	added ('OK')	application/x-javascript	etag:%22415-63613d42-16205b;gz%22	http://www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.extend.js?ver=2.6.1	C:/My%20Web%20Sites/empresapapelera/www.papeleradelsur.com.ar/assets/scripts/a3-lazy-load/assets/js/jquery.lazyloadxt.extendc141.js	(from https://www.papeleradelsur.com.ar/en/)
